"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/01/2022","AQS","132611001","2","0.048","ppm","44","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/02/2022","AQS","132611001","2","0.057","ppm","58","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/03/2022","AQS","132611001","2","0.056","ppm","54","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/04/2022","AQS","132611001","2","0.068","ppm","93","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/05/2022","AQS","132611001","2","0.049","ppm","45","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/06/2022","AQS","132611001","2","0.037","ppm","34","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/07/2022","AQS","132611001","2","0.035","ppm","32","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/08/2022","AQS","132611001","2","0.035","ppm","32","Leslie","14","82.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/09/2022","AQS","132611001","2","0.018","ppm","17","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/10/2022","AQS","132611001","2","0.026","ppm","24","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/11/2022","AQS","132611001","2","0.018","ppm","17","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/12/2022","AQS","132611001","2","0.043","ppm","40","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/13/2022","AQS","132611001","2","0.044","ppm","41","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/14/2022","AQS","132611001","2","0.049","ppm","45","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/15/2022","AQS","132611001","2","0.034","ppm","31","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/16/2022","AQS","132611001","2","0.042","ppm","39","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/17/2022","AQS","132611001","2","0.046","ppm","43","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/18/2022","AQS","132611001","2","0.033","ppm","31","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/19/2022","AQS","132611001","2","0.038","ppm","35","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/20/2022","AQS","132611001","2","0.048","ppm","44","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/21/2022","AQS","132611001","2","0.049","ppm","45","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/22/2022","AQS","132611001","2","0.051","ppm","47","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/23/2022","AQS","132611001","2","0.032","ppm","30","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/24/2022","AQS","132611001","2","0.042","ppm","39","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/25/2022","AQS","132611001","2","0.05","ppm","46","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/26/2022","AQS","132611001","2","0.047","ppm","44","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/27/2022","AQS","132611001","2","0.049","ppm","45","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/28/2022","AQS","132611001","2","0.054","ppm","50","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/29/2022","AQS","132611001","2","0.062","ppm","74","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/30/2022","AQS","132611001","2","0.058","ppm","61","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"03/31/2022","AQS","132611001","2","0.045","ppm","42","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/01/2022","AQS","132611001","2","0.045","ppm","42","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/02/2022","AQS","132611001","2","0.046","ppm","43","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/03/2022","AQS","132611001","2","0.049","ppm","45","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/04/2022","AQS","132611001","2","0.057","ppm","58","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/05/2022","AQS","132611001","2","0.033","ppm","31","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/06/2022","AQS","132611001","2","0.029","ppm","27","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/07/2022","AQS","132611001","2","0.047","ppm","44","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/08/2022","AQS","132611001","2","0.045","ppm","42","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/09/2022","AQS","132611001","2","0.042","ppm","39","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/10/2022","AQS","132611001","2","0.048","ppm","44","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/11/2022","AQS","132611001","2","0.053","ppm","49","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/12/2022","AQS","132611001","2","0.057","ppm","58","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
